facility_id,facility_name,category,subcounty,ward,neighbourhood_landmark,latitude,longitude,managing_agency,services_offered,has_ramp,has_elevator_or_step_free_entry,has_accessible_toilet,has_sign_language_support,supports_text_based_contact,visual_signage_quality,crowding_level,approx_cost_level,mobility_score,hearing_score,visual_score,notes,data_source,last_verified_date
CLN-001,Mbagathi County Hospital Outpatient,clinic,Langata,Nairobi West,near Mbagathi Road,-1.3140,36.7458,County Government,general consultation|maternal health|outpatient services,true,true,true,false,true,medium,high,free,3,1,2,Ramp at main entrance; busy mornings. Accessible toilet available.,MoH list,2024-11-01
CLN-002,Embakasi Health Centre,clinic,Embakasi East,Embakasi Central,near Donholm Market,-1.3012,36.8956,County Government,general consultation|immunization|family planning,true,false,true,false,true,medium,medium,free,2,1,2,Ramp available but steep. Can get crowded during immunization days.,County health records,2024-10-15
CLN-003,Westlands Primary Care Clinic,clinic,Westlands,Karura,near Sarit Centre,-1.2647,36.8045,Private (low-cost),general consultation|chronic disease management|lab services,true,true,true,true,true,high,low,low,3,3,3,Excellent accessibility. Modern facility with lift and sign language interpreter available twice a week.,NGO survey,2024-11-10
CLN-004,Mathare North Health Clinic,clinic,Starehe,Mathare North,near Mathare Social Hall,-1.2602,36.8605,County Government,general consultation|TB treatment|HIV services,false,false,false,false,true,low,high,free,0,1,1,No ramp. Staff helpful but facility has steps at entrance. Very busy.,Manual survey,2024-09-20
CLN-005,Kibra Medical Centre,clinic,Kibra,Laini Saba,near Olympic Estate,-1.3142,36.7734,Faith-based (low-cost),general consultation|maternity|lab services,true,false,true,false,true,medium,medium,low,2,1,2,Ramp at side entrance. Good staff assistance. Gets busy afternoons.,MoH list,2024-10-28
CLN-006,Upper Hill Medical Plaza,clinic,Kibra,Upper Hill,near Nairobi Hospital,-1.2919,36.8143,Private (low-cost),general consultation|specialist clinics|pharmacy,true,true,true,true,true,high,medium,moderate,3,3,3,Lift available. Clear signage. KSL interpreter available on appointment.,Manual survey,2024-11-05
CLN-007,Dagoretti Corner Clinic,clinic,Dagoretti North,Kilimani,near Yaya Centre,-1.2880,36.7778,County Government,general consultation|dental|eye clinic,true,false,true,false,false,medium,medium,free,2,1,2,Ramp but narrow. Accessible toilet. Staff supportive.,County health records,2024-10-10
CLN-008,Kenyatta National Hospital Outpatient,hospital,Starehe,Central,near Ngara,-1.3003,36.8068,National Government,general consultation|specialist services|emergency,true,true,true,false,true,high,high,low,3,2,3,Full accessibility features. Very large facility. Can be confusing to navigate. Bring NHIF card.,MoH list,2024-11-08
CLN-009,Pumwani Maternity Hospital,hospital,Kamukunji,Pumwani,near Eastleigh,-1.2834,36.8338,County Government,maternity services|family planning|antenatal care,true,true,true,false,true,medium,high,free,3,1,2,Ramp and lift. Focus on maternal health. Very busy especially mornings.,County health records,2024-10-22
CLN-010,Langata Health Clinic,clinic,Langata,Lang'ata,near Karen Road,-1.3564,36.7411,County Government,general consultation|immunization|nutrition clinic,true,false,true,false,true,medium,low,free,2,1,2,Ramp available. Quiet location. Good for regular visits. Accessible toilet.,MoH list,2024-11-01
CLN-011,Embakasi West Dispensary,clinic,Embakasi West,Umoja I,near Buruburu Shopping Centre,-1.2801,36.8856,County Government,general consultation|family planning|wound care,false,false,false,false,true,low,medium,free,0,1,1,No ramp or accessible features. Staff willing to assist outside if needed.,Manual survey,2024-09-15
CLN-012,Kasarani Community Clinic,clinic,Kasarani,Kasarani,near Thika Road Mall,-1.2247,36.8978,County Government,general consultation|physiotherapy|chronic disease management,true,true,true,false,true,high,medium,free,3,1,3,Excellent mobility access. Physiotherapy services available. Clear signage inside.,NGO survey,2024-11-12
CLN-013,Roysambu Medical Centre,clinic,Roysambu,Roysambu,near Garden City Mall,-1.2154,36.8866,Private (low-cost),general consultation|lab services|minor procedures,true,false,true,true,true,high,low,moderate,2,3,3,Ramp entrance. Sign language support by appointment. Modern facility.,Manual survey,2024-11-07
CLN-014,Makadara Health Centre,clinic,Makadara,Makadara,near Jogoo Road,-1.2951,36.8467,County Government,general consultation|HIV services|immunization,true,false,true,false,true,medium,high,free,2,1,2,Ramp but facility can be crowded. Accessible toilet. Friendly staff.,County health records,2024-10-18
CLN-015,CBD Quick Clinic,clinic,Starehe,Nairobi Central,near Moi Avenue,-1.2829,36.8219,Private (low-cost),general consultation|occupational health|travel medicine,false,true,true,false,true,high,medium,moderate,1,1,3,Ground floor accessible via lift from street level. Good signage. Central location.,Manual survey,2024-11-09
