facility_id,facility_name,category,subcounty,ward,neighbourhood_landmark,latitude,longitude,managing_agency,services_offered,has_ramp,has_elevator_or_step_free_entry,has_accessible_toilet,has_sign_language_support,supports_text_based_contact,visual_signage_quality,crowding_level,approx_cost_level,mobility_score,hearing_score,visual_score,notes,data_source,last_verified_date
SSC-001,NCPWD Upper Hill Office,ncpwd_office,Kibra,Upper Hill,near Kenyatta National Hospital,-1.2945,36.8122,National Council for Persons with Disabilities,disability card registration|assistive devices|advocacy services,true,true,true,true,true,high,low,free,3,3,3,Lift available in building. KSL interpreter on Tuesdays and Thursdays. Excellent accessibility.,NCPWD website,2024-11-10
SSC-002,Social Protection Office - Embakasi,social_service,Embakasi East,Embakasi Central,near Donholm DC Office,-1.2998,36.8942,Ministry of Labour and Social Protection,cash transfer registration|disability assessment|social assistance,true,false,true,false,true,medium,medium,free,2,1,2,Ramp at entrance. Accessible toilet. Bring ID and disability documentation.,Manual survey,2024-10-20
SSC-003,Westlands Sub-County Social Services,social_service,Westlands,Parklands,near Westlands Police Station,-1.2690,36.8045,County Government,child welfare|disability services|social support,true,true,true,false,true,high,low,free,3,1,3,Lift access. Clear signage. Ground floor office. Staff trained in accessibility support.,County records,2024-11-05
SSC-004,NCPWD Dagoretti Service Point,ncpwd_office,Dagoretti North,Kileleshwa,near Mandera Road,-1.2856,36.7689,National Council for Persons with Disabilities,disability card registration|information and referral,true,false,true,true,true,medium,low,free,2,3,2,Ramp available. KSL interpreter on Mondays. Accessible toilet. Bring passport photo and ID.,NCPWD website,2024-10-25
SSC-005,Kibra Social Services Office,social_service,Kibra,Laini Saba,near Kibra DC Office,-1.3123,36.7756,County Government,cash transfers|orphans and vulnerable children support|disability services,false,false,false,false,true,low,medium,free,0,1,1,No ramp. Ground floor but has step at entrance. Staff can meet outside if needed.,Manual survey,2024-09-18
SSC-006,Makadara Social Protection Desk,social_service,Makadara,Makadara,near Jogoo Road DC Office,-1.2956,36.8478,Ministry of Labour and Social Protection,cash transfer enrolment|disability assessment|elderly support,true,false,true,false,true,medium,medium,free,2,1,2,Ramp entrance. Accessible toilet. Bring ID and supporting documents. Gets busy end of month.,County records,2024-10-12
SSC-007,Starehe Community Development Office,social_service,Starehe,Nairobi Central,near City Hall,-1.2843,36.8207,County Government,community programs|disability support|youth services,true,true,true,false,true,high,medium,free,3,1,3,Lift in building. Ground floor office. Good signage. Central location accessible via public transport.,Manual survey,2024-11-08
SSC-008,Langata Social Services,social_service,Langata,Lang'ata,near Karen DC Office,-1.3578,36.7423,County Government,child welfare|elderly support|disability services,true,false,true,false,true,medium,low,free,2,1,2,Ramp available. Quiet office. Accessible toilet. Bring identification documents.,County records,2024-10-30
SSC-009,NCPWD CBD Information Centre,ncpwd_office,Starehe,Nairobi Central,near Afya Centre,-1.2857,36.8201,National Council for Persons with Disabilities,information and referral|assistive devices catalogue|rights advocacy,false,true,true,true,true,high,low,free,1,3,3,Ground floor via lift. Excellent signage. KSL interpreter available daily. Central location.,NCPWD website,2024-11-12
SSC-010,Kasarani Sub-County Children Office,social_service,Kasarani,Kasarani,near Kasarani Police Station,-1.2234,36.8989,County Government,child protection|orphans and vulnerable children|disability services,true,true,true,false,true,high,low,free,3,1,3,Full accessibility. Lift available. Clear signage. Staff trained in disability support.,County records,2024-11-06
s
